category,product,vial,client_rate,mrp,reporting_time,page
SPECIALISED TEST MENU,PCOD PANEL,RED - PLAIN,1800.0,3400.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,TORCH 10 PANEL,RED - PLAIN,900.0,2500.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,HB ELECTROPHROSIS / HPLC,PURPLE - EDTA,400.0,1000.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,Estradiol (E2),RED - PLAIN,200.0,600.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,Progesterone,RED - PLAIN,200.0,600.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,HOMA IR (1st Trimester) - Fasting Sample,"RED - PLAIN , GRAY",400.0,1000.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,ANA,RED - PLAIN,300.0,800.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,VITAMIN D,RED - PLAIN,300.0,1000.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,LH FSH PRL,RED - PLAIN,350.0,1200.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,FT3 FT4 TSH,RED - PLAIN,150.0,600.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,LBC + HPV DNA PCR,CONTAINER + BRUSH,1100.0,1700.0,3 to 4 Days  (6pm to 7.30pm),5
SPECIALISED TEST MENU,N I P T,TUBE & FORM,7500.0,9000.0,5 to 6 Days  (6pm to 7.30pm),5
